PSP,NL
"Globally, it is always the case that if class = 1 and default_view holds, then vertical_vision_distance >= 60 holds as well.",IF Class EQUAL 1 AND IF default view THEN vertical vision distance MUST be EQUAL or GREATER THAN 60 m behind driver
"Globally, it is always the case that if class = 1 and default_view and vertical_longitudinal_median_plane >= 60 holds, then horizontal_vision >= 20 eventually holds.",IF Class EQUAL 1 AND IF default view AND vertical longitudinal median plane EQUAL or GREATER 60 m THEN  horizontal vision MUST be EQUAL or GREATER THAN 20 m 
"Globally, it is always the case that if class = 3 and default_view holds, then vertical_vision_distance >= 20 holds as well.",IF Class EQUAL 3 AND IF default view THEN vertical vision distance MUST be EQUAL or GREATER THAN 20 m behind driver/passenger
"Globally, it is always the case that if class = 3 and default_view and vertical_longitudinal_median_plane >= 4 holds, then vertical_vision >= 1 holds as well.",IF Class EQUAL 3 AND IF default view AND vertical longitudinal median plane EQUAL or GREATER  THAN 4 m THEN vertical vision MUST be EQUAL or GREAT THAN 1 m 
"Globally, it is always the case that if class = 3 and default_view and vertical_longitudinal_median_plane >= 20 holds, then horizontal_vision >= 4 holds as well.",IF Class EQUAL 3 AND IF default view  AND vertical longitudinal median plane EQUAL 20 m THEN horizontal vision MUST be EQUAL or GREAT THAN 4 m 
"Globally, it is always the case that if class = 1 holds, then AVG_MF = 0.33 holds as well.","IF Class EQUAL 1 THEN Average magnification factor EQUAL to 0,33"
"Globally, it is always the case that if class = 3 holds, then AVG_MF = 0.31 holds as well.",IF Class EQUAL 3 AND IF driver side THEN average magnification factor EQUAL to 0.31
"Globally, it is always the case that if class = 3 and passenger_side holds, then AVG_MF = 0.20 holds as well.",IF Class EQUAL 3 AND IF passenger side THEN average magnification factor EQUAL to 0.20
"Globally, it is always the case that if class = 1 holds, then MIN_MF = 0.31 holds as well.","IF Class EQUAL 1 THEN Minimum magnification factor EQUAL to 0,31"
"Globally, it is always the case that if class = 3 and driver_side holds, then MIN_MF = 0.29 holds as well.",IF Class EQUAL 3 AND  IF driver side THEN minimum magnification factor EQUAL to 0.29
"Globally, it is always the case that if class = 3  and passenger_side holds, then MIN_MF = 0.19 holds as well.",IF Class EQUAL 3 AND IF passenger side THEN minimum magnification factor EQUAL to 0.19
"Globally, it is always the case that if class = 1 and adjust_default_view holds, then vertical_vision_distance < 60 eventually holds.",IF Class EQUAL 1 AND IF adjust default view THEN vertical vision distance CAN be LESS THAN 60 m behind driver
