PSP;NL
Globally, it is always the case that if perceived_light_sources_number >= 2 and park_assist holds, then send_airbag_conditions_alert eventually holds.;IF number of perceived light sources is EQUAL or GREATER THAN 2 AND park assist is activated THEN send airbag conditions alert.
Globally, it is always the case that vertical_longitudinal_median_plane < traffic_density holds.;vertical longitudinal median plane is LESS THAN traffic density.
After signal_lamp_event, it is always the case that if gear <= 4 holds, then engine_efficiency <= 33 eventually holds.;IF signal-lamp AND gear number is EQUAL or LESS THAN 4 gear THEN engine efficiency MUST be EQUAL or LESS THAN 33 %.
Globally, it is always the case that if luminance < 3.4 and monitor_luminance_ratio < 129 holds, then send_collision_alert eventually holds.;IF luminance is LESS THAN 3.4 lx AND monitor luminance ratio is LESS THAN 129 THEN send collision alert.
After light_sources_intensity <= 1252, it is always the case that if gps_signal > 9 holds, then engine_efficiency >= 15 holds as well.;IF intensity of light sources is EQUAL or LESS THAN 1252 cd AND GPS signal strength is GREATER THAN 9 dBm THEN engine efficiency MUST be EQUAL or GREATER THAN 15 %.
After emergency_record, it is always the case that if older_driver holds, then lock_steering eventually holds.;IF record an emergency video AND older driver THEN lock steering.
After tire_rotation_alert, it is always the case that wiper holds.;IF tire rotation alert is on THEN activate wiper.
After approaching_vehicle_distance = 24, it is always the case that if brake_conditions_alert holds, then send_distraction_alert eventually holds.;IF distance of approaching vehicle is EQUAL to 24 m AND brake conditions alert is on THEN send distraction alert.
After send_engine_overheat_alert, it is always the case that if monitor_background_luminance > 1.9 holds, then full_beam eventually holds.;IF send engine overheat alert AND monitor background luminance is GREATER THAN 1.9 cd/m2 THEN activate full beam lights.
Globally, it is always the case that if monitor_luminance_ratio >= 135 and traffic_flow_speed >= 91 holds, then AVG_MF < 0.4 and engine_efficiency < 71 holds as well.;IF monitor luminance ratio is EQUAL or GREATER THAN 135 AND traffic flow speed is EQUAL or GREATER THAN 91 km/h THEN average magnification factor CAN be LESS THAN 0.4 AND engine efficiency CAN be LESS THAN 71 %.
Globally, it is never the case that engine_efficiency < 96 holds.;engine efficiency MUST NOT be LESS THAN 96 %.
