 'Globally, it is always the case that if class = 3 and default_view holds, then vertical_vision_distance >= 20 holds as well for both driver and passenger.'
 'Globally, it is always the case that if pass = 6 and super_view holds, then orizontal_vision_distance <= 20 eventually holds.'
 'Globally, it is always the case that if mass = 3 and default_view holds, then vertical_vision_distance > 50 eventually holds.'
 'Globally, it is always the case that if class = 3 and default_view holds, then vertical_vision_distance >= 20 holds as well for both driver and passenger.'
 'Globally, it is always the case that if pass = 6 and super_view holds, then orizontal_vision_distance <= 20 eventually holds.'
 'Globally, it is always the case that if mass = 3 and default_view holds, then vertical_vision_distance > 50 eventually holds.'
 'Globally, it is always the case that if class = 3 and default_view holds, then vertical_vision_distance >= 20 holds as well for both driver and passenger.'
 'Globally, it is always the case that if pass = 6 and super_view holds, then orizontal_vision_distance <= 20 eventually holds.'
 'Globally, it is always the case that if mass = 3 and default_view holds, then vertical_vision_distance > 50 eventually holds.'
 'Globally, it is always the case that if class = 3 and default_view holds, then vertical_vision_distance >= 20 holds as well for both driver and passenger.'
 'Globally, it is always the case that if pass = 6 and super_view holds, then orizontal_vision_distance <= 20 eventually holds.'
 'Globally, it is always the case that if mass = 3 and default_view holds, then vertical_vision_distance > 50 eventually holds.'
